Title,Link,Company Name,Job Description,Skills,Location,Experience,Salary,Job ID,Job Function,Industry,Specialization,Role,Qualification,Employment Type,Vacancies
Quantitative Trader - J48242B,https://www.timesjobs.com/job-detail/quantitative-trader-j48242b-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-l8mmfg9al7dzpSvf__PLUS__uAgZw==,Sampoorna Consultants Pvt Ltd,"About Job : A team-player who is creative, focused, committed and passionate about financial markets  2-5 years work experience in a front office financial market function; Pr...",Solidworks,Bengaluru / Bangalore,2-5Years,10.00 - 20.00 Lakhs,70794033,IT Software : Software Products & Services,IT-Software,Software Engineer,Other IT Role,Any Graduate,Full Time,1.0
Ux Ui Designer Job In Dubai,https://www.timesjobs.com/job-detail/ux-ui-designer-job-in-dubai-exotic-expert-solutions-llp-dubai-5-to-10-yrs-jobid-QhSQy0Nf1NRzpSvf__PLUS__uAgZw==,Exotic Expert Solutions Llp,"Interested Candidate call or WhatsApp on Eight Five Two Seven Two Four One Six Six Five Creating user-centered designs by understanding business requirements, anduser feedback...","ux designer, ui designer, senior ui designer, team lead",Dubai,5-10Years,50.00 - 98.00 Lakhs,70783433,IT Software : Software Products & Services,"IT-Software,  Software Services","Application Programming,Data Warehousing","Configuration/ Release Manager, Database Administrator (DBA)",Any Graduate,Full Time,1.0
Mern Stack Internship In Ahmedabad,https://www.timesjobs.com/job-detail/mern-stack-internship-in-ahmedabad-maxgen-technologies-ahmedabad-anand-gandhinagar-mehsana-surat-0-to-1-yrs-jobid-zk8sU30mXLpzpSvf__PLUS__uAgZw==,Maxgen Technologies,Maxgen Technologies Pvt ltd offering internship in ahmedabad. candidates will get live project mern stackinternship with frontend development .what we serve in internship?mult...,.,"Ahmedabad,  Anand,  Gandhinagar,  Mehsana,  Surat",0-1Years,As per Industry Standards,70851244,IT Software : Software Products & Services,IT-Software,mern stack,Other IT Software - Others,Any Graduate,Intern,1.0
Php Developer Job In Poland,https://www.timesjobs.com/job-detail/php-developer-job-in-poland-primex-immigration-llp-5-to-10-yrs-jobid-6v2__SLASH__P5D0AGtzpSvf__PLUS__uAgZw==,Primex Immigration Llp,For more information Call & WhatsApp on -Eight Four Four Eight Three Two One One Three Two Collaborate with the project team to understand application requirements and tra...,"PHP Developing, php developer, software developer, PHP c ++ Java, Database",Poland (Poland),5-10Years,50.00 - 98.00 Lakhs,70816435,IT Software : Software Products & Services,IT-Software,php,Database Analyst/ Programmer,Any Graduate,Full Time,1.0
It Project Manager,https://www.timesjobs.com/job-detail/it-project-manager-advance-consultancy-services-other-city-s-in-saudi-arabia-2-to-7-yrs-jobid-eD2Lg79g7VJzpSvf__PLUS__uAgZw==,Advance Consultancy Services,"Job Position : IT Project ManagerCompany Name : Gulf Link TechnologiesJob Location : Riyadh, Saudi Arabia Job Description :-Minimum 9+ year experience , Saudi- Arabic speaking...","IT Project Manager, Change Management",Other City(s) in Saudi Arabia,2-7Years,3.00 - 7.00 Lakhs,70816357,IT Software : Software Products & Services,Consulting Services,Software Engineer,Project Manager,Any Graduate,Full Time,1.0
Software Deve Cloud Gaming Data Engineering Erp Qa Auto Jobs,https://www.timesjobs.com/job-detail/software-deve-cloud-gaming-data-engineering-erp-qa-auto-jobs-white-horse-manpower-consultancy-p-ltd-bengaluru-bangalore-5-to-10-yrs-jobid-E2r7P8dikdZzpSvf__PLUS__uAgZw==,White Horse Manpower Consultancy P Ltd,"Software Deve Cloud Gaming Data Engineering ERP QA Auto Jobs4 + Yrs Java Spring boot, microservices, AWS6 + Yrs C#, .netcore WPF3 + Yrs 3D CAD/Auto CAD3 + Yrs Mixed Reality De...","Java Spring boot, microservices, AWS, c#, netcore WPF, 3D CAD Auto CAD",Bengaluru / Bangalore,5-10Years,12.00 - 21.00 Lakhs,70639430,IT Software : Software Products & Services,IT-Software,Systems Programming,System Administrator,Any Graduate,Full Time,1.0
Maintenance Worker,https://www.timesjobs.com/job-detail/maintenance-worker-sunil-kanpur-lucknow-mathura-meerut-moradabad-2-to-7-yrs-jobid-Fb7q1yjSan5zpSvf__PLUS__uAgZw==,Sunil,We are hiring a maintenance worker to join our maintenance team. You will inspect different equipment and perform any basic repairs or preventative maintenance when required. ...,"Maintenance Worker, Housekeeping, Facilities Management, Preventive Maintenance, Breakdown Maintenance, Electrical Maintenance, software engineer, Fabrication, Welding","Kanpur,  Lucknow,  Mathura,  Meerut,  Moradabad",2-7Years,6.00 - 7.00 Lakhs,70970268,"IT Hardware : Hardware Products & Services,IT Software : Software Products & Services","IT-Hardware/Networking,  IT-Software","Embedded Technology,H/W Installation/Maintenance,Application Programming,Configuration/Release Mgmt","Software Developer/ Programmer, RF Installation & Administration Engineer, Technical Support Engineer, Hardware Installation/ Maintenance Engineer",Any Graduate,Full Time,1.0
Civil Engineer,https://www.timesjobs.com/job-detail/civil-engineer-sunil-haldwani-haridwar-nainital-roorkee-rudrapur-2-to-7-yrs-jobid-EbEmXAiZ0tZzpSvf__PLUS__uAgZw==,Sunil,"We are looking for an experienced, driven civil engineer with a wealth of industry knowledge. To ensure success, the ideal candidate should be comfortable splitting their hour...","Civil Engineer, autocad operator, civil inspector, Project Engineer, hardware networking, Peripherals, Software Installation, Networking, Civil Construction, Inspection","Haldwani,  Haridwar,  Nainital,  Roorkee,  Rudrapur",2-7Years,6.00 - 7.00 Lakhs,70945067,"IT Hardware : Hardware Products & Services,IT Software : Software Products & Services","IT-Hardware/Networking,  IT-Software","Embedded Technology,H/W Installation/Maintenance,Application Programming,Database Administration (DBA)","Fresher, RF Installation & Administration Engineer, Hardware Installation/ Maintenance Engineer, Software Testing Engineer/ Test Automation Engineer",Any Graduate,Full Time,1.0
Flutter Internship In Ahmedabad,https://www.timesjobs.com/job-detail/flutter-internship-in-ahmedabad-maxgen-technologies-ahmedabad-bhavnagar-junagarh-rajkot-surendranagar-0-to-1-yrs-jobid-LkPY__SLASH__mSOsgFzpSvf__PLUS__uAgZw==,Maxgen Technologies,Maxgen Technologies pvt ltd offers live project internship ahmedabad .we are offeringflutter internship with mobile app develoment .why our services?enjoying work environment ...,.,"Ahmedabad,  Bhavnagar,  Junagarh,  Rajkot,  Surendranagar",0-1Years,As per Industry Standards,70828008,IT Software : Software Products & Services,IT-Software,mobile app,Other IT Software - Others,Any Graduate,Intern,1.0
Data Science Internship In Ahmedabad,https://www.timesjobs.com/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-bhavnagar-junagarh-rajkot-surendranagar-0-to-1-yrs-jobid-F__SLASH__1r6ftHsy9zpSvf__PLUS__uAgZw==,Maxgen Technologies,Maxgen Technologies pvt ltd offers live project internship ahmedabad .we are offeringdata science internship with machine learning .why our services?enjoying work environment ...,.,"Ahmedabad,  Bhavnagar,  Junagarh,  Rajkot,  Surendranagar",0-1Years,As per Industry Standards,70848464,IT Software : Software Products & Services,IT-Software,data science,Other IT Software - Others,Any Graduate,Intern,1.0
It Manager,https://www.timesjobs.com/job-detail/it-manager-sunil-eastern-province-jeddah-abu-dhabi-al-ain-ajman-2-to-7-yrs-jobid-v1s2gNyJK8NzpSvf__PLUS__uAgZw==,Sunil,We are looking for an experienced and motivated information technology manager who will be responsible for overseeing and ensuring that computing systems and equipment are ope...,"It Infrastructure, Management Information System, project co ordinator, business analyst, It Operations, IT Manager, it administrator, it support, network administrator","Eastern Province,  Jeddah,  Abu Dhabi,  Al Ain,  Ajman",2-7Years,6.00 - 7.00 Lakhs,70848442,"IT Hardware : Hardware Products & Services,IT Software : Software Products & Services","IT-Hardware/Networking,  IT-Software","Embedded Technology,H/W Installation/Maintenance,Application Programming,Database Administration (DBA)","Software Developer/ Programmer, RF Installation & Administration Engineer, Fresher, Quality Assurance/ Control - Manager",Any Graduate,Full Time,1.0
Qa/Qc Engineer Job In Dubai,https://www.timesjobs.com/job-detail/qa-qc-engineer-job-in-dubai-cloud-visa-immigration-llp-dubai-3-to-7-yrs-jobid-a__SLASH__byVSK4RgJzpSvf__PLUS__uAgZw==,Cloud Visa Immigration Llp,For more information Call or Whatsapp us onNine Three One One Five Two Nine Seven Seven ZeroJOB DESCRIPTIONJob Title: QA/QC EngineerJob SummaryWe are seeking an experienced QA...,"QA Testing, QC, Qyality Assurance, Process Improvement",Dubai,3-7Years,45.00 - 80.00 Lakhs,70788375,IT Software : Software Products & Services,IT-Software,Quality Assurance/Testing,"Software Quality Assurance Engineer, Software Quality Assurance Manager",Any Graduate,Full Time,80.0
Marketing Manager Job In Canada,https://www.timesjobs.com/job-detail/marketing-manager-job-in-canada-exotic-expert-solutions-llp-canada-3-to-7-yrs-jobid-gE7__PLUS__y5elAf1zpSvf__PLUS__uAgZw==,Exotic Expert Solutions Llp,Interested Candidate call or WhatsApp on -  Eight Five Two Seven Two Four One Six Six FIVE JOB DESCRIPTIONJob Summary:We are seeking an experienced Marketing Manager with 3 to...,"Market Research & Analysis, Digital Marketing, Content Creation & Management, Budgeting & Cost Management",Canada,3-7Years,45.00 - 80.00 Lakhs,70788329,"Administration,IT Software : Software Products & Services",Software Services,"Event Planning,Supplies Co-ordination,Business/Systems Analysis,Internet/E-commerce","Facility Management - Executive, Management Trainee/ Trainee, Information Systems (MIS) - Manager, Product Manager",Any Graduate,Full Time,80.0
Data Scientist Job In Canada,https://www.timesjobs.com/job-detail/data-scientist-job-in-canada-exotic-expert-solutions-llp-canada-3-to-7-yrs-jobid-PdEsAQgUsXZzpSvf__PLUS__uAgZw==,Exotic Expert Solutions Llp,Interested Candidate call or WhatsApp on -  Eight Five Two Seven Two Four One Six Six FIVE JOB DESCRIPTIONJob Title:Data ScientistJob Summary:We are seeking an experienced Dat...,"Research, Data Engineering, Cloud Computing, Data Visualization",Canada,3-7Years,45.00 - 80.00 Lakhs,70788315,IT Software : Software Products & Services,"Educational/Training,  Software Services","Application Programming,Business/Systems Analysis,Client Server,Database Administration (DBA)","Database Administrator (DBA), Usability Engineer, Web Programmer, Management Trainee/ Trainee",Any Graduate,Full Time,80.0
Project Manager Job In Canada,https://www.timesjobs.com/job-detail/project-manager-job-in-canada-exotic-expert-solutions-llp-canada-3-to-7-yrs-jobid-zS5RBoR__PLUS__21FzpSvf__PLUS__uAgZw==,Exotic Expert Solutions Llp,Interested Candidate call or WhatsApp on -  Eight Five Two Seven Two Four One Six Six FIVE JOB DESCRIPTIONJob Title: Project ManagerJob Summary:We are seeking an experienced a...,"Marketing, Project Planning, Budget Management, Stakeholder Management",Canada,3-7Years,45.00 - 80.00 Lakhs,70788305,"IT Software : Software Products & Services,Marketing/MR/Media Planning","IT-Software,  Projects/Infrastructure/Power/Energy","Legacy Systems,Project Leader/ Project Manager,Business Analyst,Market Research","Product Manager, Project Leader/ Project Manager, Delivery Manager/ Head, Program Manager",Any Graduate,Full Time,80.0
Lead Platform Engineer (Azure Kubernetes Services),https://www.timesjobs.com/job-detail/lead-platform-engineer-azure-kubernetes-services-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-0oOVsHGuVe5zpSvf__PLUS__uAgZw==,Talpro India Private Limited,"We are seeking a Lead Platform Engineer (Azure Kubernetes Services) to be part of our US ODC. Sharing below the JD, please apply if you are interested.  Must be solid in Azure...",ARCS,Bengaluru / Bangalore,5-15Years,15.30 - 30.60 Lakhs,70788257,IT Software : Software Products & Services,IT-Software,Application Programming,Software Developer/ Programmer,Any Graduate,Full Time,1.0
"Erp Software Engineer,Software Developer",https://www.timesjobs.com/job-detail/erp-software-engineer-software-developer-exponentjobs-5-to-9-yrs-jobid-0FIT3MUwWcNzpSvf__PLUS__uAgZw==,Exponentjobs,ERP/DB (oracle) installation and configuration.Checking the data integrity between all work locations & reporting.Tracking issues and timelineTesting the new developments ...,"VB .net c#, Crystal Report, Oracle, sql, flexgrid, coding, erp software developer, ERP Implementation, DB ORACLE, Programming","Central African Republic (CAR) (Central African Republic (car)), Republic of the Congo (Republic Of The Congo), INTERNATIONAL (International)",5-9Years,9.00 - 11.00 Lakhs,70575239,IT Software : Software Products & Services,Printing/Packaging,"Configuration/Release Mgmt,ERP/CRM,Software Engineer","Software Installation Engineer, Technical Support Engineer, Other IT Software - Maintenance/ Systems, Software Developer/ Programmer","BCA (Computer Application) (Computer Science, BE/ B.Tech (Engineering), Computer Science ), Electronics/ Telecommunication, MCA/ PGDCA (Computer Science )",Full Time,1.0
Civil Engineer,https://www.timesjobs.com/job-detail/civil-engineer-sunil-navsari-palanpur-patan-porbandar-rajkot-2-to-7-yrs-jobid-Z7aF1c46NgtzpSvf__PLUS__uAgZw==,Sunil,"We are looking for an experienced, driven civil engineer with a wealth of industry knowledge. To ensure success, the ideal candidate should be comfortable splitting their hour...","Project Engineer, software engineer, Civil Engineer, autocad operator, civil inspector, Civil Construction, Inspection, Building Construction, Project Management, Excel","Navsari,  Palanpur,  Patan,  Porbandar,  Rajkot",2-7Years,6.00 - 7.00 Lakhs,70942939,"IT Hardware : Hardware Products & Services,IT Software : Software Products & Services","IT-Hardware/Networking,  IT-Software","Embedded Technology,H/W Installation/Maintenance,Database Administration (DBA),System Analyst/Tech Architect","Software Developer/ Programmer, RF Installation & Administration Engineer, Hardware Installation/ Maintenance Engineer, GeographicInformation Systems (GIS) Application Developer",Any Graduate,Full Time,1.0
Golang Developer - J48509,https://www.timesjobs.com/job-detail/golang-developer-j48509-a-leading-firm-mumbai-2-to-4-yrs-jobid-aRzmnoUqgSBzpSvf__PLUS__uAgZw==,Sampoorna Consultants Pvt Ltd,"Job Location: Mumbai (Kurla).Exp required: 2-4 Yrs.Technical Skills required: Strong development experience in Golang, Angular & shellscripting.Profile -Golang Developer -...",Golang Developer,Mumbai,2-4Years,8.00 - 18.00 Lakhs,70852594,IT Software : Software Products & Services,IT-Software,"Application Programming,Client Server,Configuration/Release Mgmt,Software Engineer",Software Developer/ Programmer,Any Graduate,Full Time,1.0
Sap Fi Application Lead,https://www.timesjobs.com/job-detail/sap-fi-application-lead-eskillport-hr-services-pvt-ltd-kolkata-8-to-10-yrs-jobid-F__PLUS__tZnOi1cUBzpSvf__PLUS__uAgZw==,Eskillport Hr Services Pvt Ltd,Job Type: Permanent / Full timeRole: Team LeadDesignation:  Lead FI Consultant/Principal ConsultantLocation: Kolkata - IndiaNature of the Role: SAP Finance Application LeadQBA...,"SAP Finance Business, document methodologies, workshops, OTC, CO-PCA, Profitability Analysis, workflows, reports, conversions, RTR, SAP HANA",Kolkata,8-10Years,Best in Industry,70824926,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software","Application Programming,Client Server,System Security,Systems Programming",Consultant,Any Graduate,Full Time,1.0
C# Developer - J48502,https://www.timesjobs.com/job-detail/c-developer-j48502-a-leading-firm-mumbai-3-to-6-yrs-jobid-xG6aT__SLASH__viAb1zpSvf__PLUS__uAgZw==,Sampoorna Consultants Pvt Ltd,Job Location: BKC in Mumbai.Work Model - Hybrid (3 Days Office).Job Description:Strong C# fundamentals Strong experience in Server-Side Programming using C#  Experience in at ...,"c#, Design Patterns, SQL, Angular, React.JS",Mumbai,3-6Years,8.00 - 15.00 Lakhs,70835225,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software","Application Programming,Client Server,Configuration/Release Mgmt,Software Engineer",Software Developer/ Programmer,Any Graduate,Full Time,1.0
Network Engineer,https://www.timesjobs.com/job-detail/network-engineer-sunbridge-solutions-opc-private-limited-germany-ireland-netherlands-new-zealand-singapore-2-to-7-yrs-jobid-sNRZn6aOf4NzpSvf__PLUS__uAgZw==,Sunbridge Solutions Opc Private Limited,"Locations- Ireland / Singapore / united kingdom / germany / luxembourg/ netherland / new zealand Network Engineer jobs in Abroad CountriesMaintain, troubleshoot and administer...","Network Engineer, Network Engineering, network support engineer, system administrator, customer support engineer, Network Designing","Germany,  Ireland,  Netherlands,  New Zealand,  Singapore",2-7Years,Best in Industry,70783799,IT Software : Software Products & Services,Consulting Services,Network Administration,Other IT Role,Any Graduate,Full Time,1.0
Software Engineer Job In New Zealand,https://www.timesjobs.com/job-detail/software-engineer-job-in-new-zealand-adal-immigrations-llp-new-zealand-4-to-8-yrs-jobid-QtV__SLASH____SLASH__6wcSexzpSvf__PLUS__uAgZw==,Adal Immigrations Llp,To check your Eligibility Call / WhatsApp your cv on :Eight One Three Zero Five Five Nine Nine Six NineSet the technical direction of the project.Identify and adhere to the fr...,"software engineer, senior software engineer, software programmer, web developer, php programmer, software developer, software engineering, php developer",New Zealand,4-8Years,55.00 - 98.00 Lakhs,70780161,IT Software : Software Products & Services,IT-Software,"Application Programming,Graphic Designing/Animation/Web Designing,Software Engineer,System Administration","Software Developer/ Programmer, Other IT Software - Others",Any Graduate,Full Time,1.0
Oracle Cc&B Techno/Functional Consultant For Immediate Joining,https://www.timesjobs.com/job-detail/oracle-cc-b-techno-functional-consultant-for-immediate-joining-white-horse-manpower-consultancy-p-ltd-other-city-s-in-saudi-arabia-5-to-10-yrs-jobid-DhXAmYYFpsFzpSvf__PLUS__uAgZw==,White Horse Manpower Consultancy P Ltd,"1, Technical & functional on CC&B2, Who can do the role of development and designing new services Looking for good Peole.3, This is Oracle Module Customer Care and bil...","Oracle Cc&B, designing, Oracle Finance, Oracle Financials, Techno Functional",Other City(s) in Saudi Arabia,5-10Years,5.00 - 10.00 Lakhs,70549808,IT Software : Software Products & Services,IT-Software,Database Administration (DBA),Software Developer/ Programmer,Any Graduate,Full Time,1.0
Consultant - Sap Business One,https://www.timesjobs.com/job-detail/consultant-sap-business-one-manufacturing-industry-kolkata-6-to-11-yrs-jobid-RV9wB5yAqllzpSvf__PLUS__uAgZw==,Options & Ideas,SAP B1 Consultant-TechnicalIndustry-ManufacturingJob Location-KolkataMale CandidateProven experience AsSAP B1 Consultant We are looking for SAP B1 Technical Consultant to join...,"SAP Business One, Net Core Framework, SAP B1, web customization, sql server, TECHNICAL",Kolkata,6-11Years,7.20 - 15.00 Lakhs,70246192,IT Software : Software Products & Services,Manufacturing/Industrial,Back End Developer,Software Developer/ Programmer,"BCA (Computer Application) (Computer Science, BE/ B.Tech (Engineering), Computer Science )",Full Time,1.0
Audience Platform Lead- Salesforce Data Cloud - J48483,https://www.timesjobs.com/job-detail/audience-platform-lead-salesforce-data-cloud-j48483-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-gurgaon-mumbai-pune-7-to-10-yrs-jobid-1io8Xgfy__PLUS__8FzpSvf__PLUS__uAgZw==,Sampoorna Consultants Pvt Ltd,Audience Platform Lead- Salesforce Data CloudExperience: 7 to 9 Years (Minimum 2+ Years in Salesforce Data Cloud)Location: Bangalore / Mumbai / Pune / GurgaonCertification: Sa...,Salesforce Data Cloud,"Bengaluru / Bangalore,  Gurgaon,  Mumbai,  Pune",7-10Years,10.00 - 20.00 Lakhs,70802235,IT Software : Software Products & Services,IT-Software,Software Engineer,Other IT Role,Any Graduate,Full Time,1.0
Java Kotlin-Senior Specialist - Software Engineering,https://www.timesjobs.com/job-detail/java-kotlin-senior-specialist-software-engineering-ltimindtree-gurgaon-8-to-12-yrs-jobid-M5XI1rM5DqtzpSvf__PLUS__uAgZw==,Ltimindtree Ltd,Skill set required JavaKotlin Spring boot Kafka and Handson experience on Microservices architectureJob Opening on Java KotlinExperience:8-12yearsLocation: GurugramPrimary Ski...,"JavaKotlin, Spring boot",Gurgaon,8-12Years,As per Industry Standards,70824589,IT Software : Software Products & Services,IT-Software,Information Systems,Software Developer/ Programmer,Any Graduate,Full Time,1.0
Software Engineer Required In Abroad,https://www.timesjobs.com/job-detail/software-engineer-required-in-abroad-world-wide-immigration-service-llp-dubai-canada-germany-null-null-2-to-7-yrs-jobid-5mMn70AbHMhzpSvf__PLUS__uAgZw==,World Wide Immigration Service Llp,"For more information Call or WhatsAppus on Nine Eight Seven Zero One Seven Zero Six Two NineAnalyze, design and develop tests and test-automation suites.Design and develop a p...","software engineer, Software Architect, Software Designing, Software Product Development, Software Delivery Process, Software Quality Testing","Dubai,  Canada,  Germany,  null,  null",2-7Years,35.00 - 99.00 Lakhs,70783424,IT Software : Software Products & Services,IT-Software,Software Engineer,"Software Developer/ Programmer, Software Developer/ Programmer",Any Graduate,Full Time,1.0
Power Platform Developer,https://www.timesjobs.com/job-detail/power-platform-developer-d-b-consultancy-bengaluru-bangalore-pune-5-to-10-yrs-jobid-tlOApf1uXzlzpSvf__PLUS__uAgZw==,D B Consultancy,Urgent opening for Power Platform Developer-Pune/BangalorePosition:Power Platform DeveloperExperience:5+YearsBudget:10-12LPA(Slightly negotiable)Location:Pune/BagaloreNotice P...,"PowerApps, Power Automate, SQL, Power Platform Developer, Power Platform, designing, developing, stakeholders, prototyping, Power Apps canvas, Troubleshooting","Bengaluru / Bangalore,  Pune",5-10Years,Best in Industry,70781437,IT Software : Software Products & Services,Consulting Services,"Application Programming,Desktop Support,System Security,Systems Programming",Software Developer/ Programmer,Any Graduate,Full Time,1.0
Data Science Internship In Ahmedabad,https://www.timesjobs.com/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-bhavnagar-junagarh-rajkot-surendranagar-0-to-1-yrs-jobid-ddWgi__PLUS__bOfI9zpSvf__PLUS__uAgZw==,Maxgen Technologies,Maxgen Technologies pvt ltd offers live project internship ahmedabad .we are offering data science internshipwith machine learning develoment .why our services?enjoying work e...,.,"Ahmedabad,  Bhavnagar,  Junagarh,  Rajkot,  Surendranagar",0-1Years,As per Industry Standards,70833918,IT Software : Software Products & Services,IT-Software,data science,Other IT Software - Others,Any Graduate,Intern,1.0
D365 F And O Finance Functional Consultant (Mid To Sr.) - J48499,https://www.timesjobs.com/job-detail/d365-f-and-o-finance-functional-consultant-mid-to-sr-j48499-a-leading-firm-pune-5-to-9-yrs-jobid-gm3rirLCQ__SLASH__dzpSvf__PLUS__uAgZw==,Sampoorna Consultants Pvt Ltd,Main Duties & Responsibilities:Responsible for the end-to-end implementation of businessprocesses within your expertise based on Dynamics 365 forFinance & Operations. ...,Finance,Pune,5-9Years,8.00 - 17.00 Lakhs,70833910,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software","Application Programming,Client Server,Configuration/Release Mgmt,Software Engineer",Consultant,Any Graduate,Full Time,1.0
Application Specialist,https://www.timesjobs.com/job-detail/application-specialist-skywalk-visa-immigration-services-llp-australia-singapore-null-null-2-to-7-yrs-jobid-W7__SLASH__0ziiKPGtzpSvf__PLUS__uAgZw==,Skywalk Visa Immigration Services Llp,This job is  only for Overseas countries.Apply to know more or contact us for more info todayAman - Nine eight six three nine three seven seven three six Job DescriptionApplic...,"Websphere Application Server, application security, Cognos, blue yonder, testing, etl, Database","Australia,  Singapore,  null,  null",2-7Years,49.35 - 89.45 Lakhs,70781323,IT Software : Software Products & Services,IT-Software,Software Engineer,"Other IT Software - Application Programming, Other Top Management, IT Software - Application Programming, Application Developer/ Programmer",Any Graduate,Full Time,85.0
It Support Engineer,https://www.timesjobs.com/job-detail/it-support-engineer-victory-educational-consultants-los-angeles-chicago-washington-dc-detroit-newark-6-to-11-yrs-jobid-DhF86npSAttzpSvf__PLUS__uAgZw==,Victory Educational Consultants,"Supports network products from operational and maintenance perspectives Performs installs, moves, adds and changes as required Tests and certifies PCs, networks, servers and c...","java full stack developers, Dev ops, Data Engineering, Data science, SAP, Oracle, Dot Net, ETL, Big Data, Hadoop, Python, MuleSoft, Cyber Security","Los Angeles,  Chicago,  Washington DC,  Detroit,  Newark",6-11Years,Best in Industry,70781160,"IT Hardware : Hardware Products & Services,IT Software : Software Products & Services","IT-Software,  Software Services","Network Planning,Application Programming","Configuration/ Release Manager, Database Administrator (DBA), Software Developer/ Programmer, System Administrator","Any Graduate, CA (Chartered Accountant), CS (Company Secretary), ICWA, M.Arch. (Architecture), M.Com. (Commerce), M.Ed. (Education), M.Pharm. (Pharmacy), M.Phil. (Philosophy), M.Sc. (Science), MA (Arts), MBA/ PGDM, MCA/ PGDCA, MD/ MS (Medicine), ME/ M.Tech./ MS (Engg/ Sciences), ML/ LLM (Law), Master of Dental Surgery (MDS)",Full Time,1.0
Php Developer Job In Hong Kong,https://www.timesjobs.com/job-detail/php-developer-job-in-hong-kong-primex-immigration-llp-hong-kong-3-to-8-yrs-jobid-r0QroW9PzYNzpSvf__PLUS__uAgZw==,Primex Immigration Llp,"For more information Call & WhatsApp on - Eight Four Four Eight Three Two One One Three TwoWrite a scalable, clean, and well-designed code.Integrate the front-end componen...","PHP Developing, PHP Developer, PHP, PHP c ++ Java, PHP Scripting, PHP MySQL",Hong Kong,3-8Years,50.00 - 98.00 Lakhs,70775977,IT Software : Software Products & Services,IT-Software,PHP,"Database Administrator (DBA), Database Analyst/ Programmer",Any Graduate,Full Time,1.0
Qa Qc Engineer Job In New Zealand,https://www.timesjobs.com/job-detail/qa-qc-engineer-job-in-new-zealand-world-wide-immigration-service-llp-new-zealand-4-to-8-yrs-jobid-joO09rLe__SLASH__5pzpSvf__PLUS__uAgZw==,World Wide Immigration Service Llp,"For more information Call or WhatsAppus on Nine Eight Seven Zero One Seven Zero Six Two NineResponsibilities:Convey data trends, results and potential implications of quality ...","QA Testing, QA Process, QC, Quality Control, Quality Assurance",New Zealand,4-8Years,50.00 - 98.00 Lakhs,70775957,IT Software : Software Products & Services,IT-Software,Quality Assurance/Testing,Software Quality Assurance Engineer,Any Graduate,Full Time,1.0
Tprm - A Con/Con/Manager - J48494,https://www.timesjobs.com/job-detail/tprm-a-con-con-manager-j48494-a-leading-firm-bengaluru-bangalore-2-to-7-yrs-jobid-Z4df__SLASH__t4dJ__PLUS__VzpSvf__PLUS__uAgZw==,Sampoorna Consultants Pvt Ltd,"Roles & responsibilities: Information Security Governance, Privacy and Compliance and Security Assessment experience with a focus on IT and IS Risk Assessments and program...",TPRM,Bengaluru / Bangalore,2-7Years,6.00 - 32.00 Lakhs,70829184,IT Software : Software Products & Services,"IT-Hardware/Networking,  IT-Software","Client Server,Configuration/Release Mgmt",Other IT Role,Any Graduate,Full Time,1.0
Quantitative Trader - J48242A,https://www.timesjobs.com/job-detail/quantitative-trader-j48242a-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-RXQ5s4YlvwxzpSvf__PLUS__uAgZw==,Sampoorna Consultants Pvt Ltd,"About Job : A team-player who is creative, focused, committed and passionate about financial markets  2-5 years work experience in a front office financial market function; Pr...",Python,Bengaluru / Bangalore,2-5Years,2.00 - 5.00 Lakhs,70794032,IT Software : Software Products & Services,IT-Software,Software Engineer,Other IT Role,Any Graduate,Full Time,1.0
Php Developer Job In Malta,https://www.timesjobs.com/job-detail/php-developer-job-in-malta-primex-immigration-llp-8-to-13-yrs-jobid-VxlsnZ0pEHNzpSvf__PLUS__uAgZw==,Primex Immigration Llp,For more information Call & WhatsApp on -Eight Four Four Eight Three Two One One Three TwoConducting analysis of website and application requirements.Writing back-end code...,"PHP Developing, php developer, software developer, PHP c ++ Java, Database",Malta (Malta),8-13Years,50.00 - 98.00 Lakhs,70797434,IT Software : Software Products & Services,IT-Software,php,Database Analyst/ Programmer,Any Graduate,Full Time,1.0
Software Engineer Job In Australia,https://www.timesjobs.com/job-detail/software-engineer-job-in-australia-world-wide-immigration-service-llp-australia-5-to-10-yrs-jobid-7mAROit63txzpSvf__PLUS__uAgZw==,World Wide Immigration Service Llp,"For more information Call or WhatsAppus on Nine Eight Seven Zero One Seven Zero Six Two NineResponsibilities:Design & Development: Write clean, efficient, and maintainable...","software engineer, software developer, senior software engineer, software programmer, it",Australia,5-10Years,50.00 - 98.00 Lakhs,70788290,IT Software : Software Products & Services,IT-Software,"Application Programming,Software Engineer",Software Developer/ Programmer,Any Graduate,Full Time,1.0
